config,n_features,acc1,acc3,acc5,val_loss,n_rounds,time_s,delta_vs_baseline,delta_vs_prev
0_baseline,168,0.22,0.355,0.485,3.454337753042107,276,144.4,0.0,0.0
1_no_entropy,166,0.21,0.35,0.46,3.498941383775614,209,125.5,-0.024999999999999967,-0.024999999999999967
2_+opponent,186,0.205,0.345,0.45,3.5022895743850877,367,213.3,-0.034999999999999976,-0.010000000000000009
3_+ban_overlap,192,0.17,0.33,0.47,3.556810187377899,385,226.9,-0.015000000000000013,0.019999999999999962
4_+ban_side,200,0.18,0.335,0.46,3.521555465653581,222,163.7,-0.024999999999999967,-0.009999999999999953
5_+hero_roles,205,0.2,0.34,0.455,3.4927134674268245,386,277.6,-0.02999999999999997,-0.0050000000000000044
6_+cap_team_pair,215,0.19,0.31,0.43,3.6098432051090725,199,170.1,-0.05499999999999999,-0.025000000000000022
7_+experience,217,0.17,0.295,0.39,3.628745054739746,169,150.5,-0.09499999999999997,-0.03999999999999998
8_all_with_entropy,219,0.175,0.315,0.43,3.578567266897146,251,201.3,-0.05499999999999999,0.03999999999999998
